circuit,orig_total,orig_cx,opt_total,opt_cx,total_reduction_pct,cx_reduction_pct,peak_rss_mb,status,max_k,term_events,total_t10,cx_t10,total_t30,cx_t30,total_t60,cx_t60,total_t120,cx_t120,total_t180,cx_t180,total_t240,cx_t240,total_t360,cx_t360,total_t480,cx_t480,total_t600,cx_t600,total_t900,cx_t900,total_t1200,cx_t1200,total_t1800,cx_t1800,total_t2400,cx_t2400,total_t3000,cx_t3000,total_t3600,cx_t3600
adder_8,900,409,510,244,43.33,40.34,2640.1,OK,3,0,585.0,290,582.0,287,544.0,269,525.0,257,525.0,257,523.0,255,520.0,252,517.0,249,517.0,249,516.0,248,512.0,246,511.0,245,510.0,244,510.0,244,510.0,244
barenco_tof_3,58,24,38,16,34.48,33.33,43.0,OK,219,2,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16,38.0,16
barenco_tof_4,114,48,64,26,43.86,45.83,432.1,OK,4,1,72.0,34,71.0,33,68.0,30,68.0,30,68.0,30,68.0,30,66.0,28,64.0,26,64.0,26,64.0,26,64.0,26,64.0,26,64.0,26,64.0,26,64.0,26
barenco_tof_5,170,72,93,39,45.29,45.83,1572.3,OK,3,0,104.0,50,100.0,46,100.0,46,98.0,44,95.0,41,95.0,41,93.0,39,93.0,39,93.0,39,93.0,39,93.0,39,93.0,39,93.0,39,93.0,39,93.0,39
barenco_tof_10,450,192,238,104,47.11,45.83,2627.1,OK,3,0,264.0,130,259.0,125,253.0,119,251.0,117,251.0,117,251.0,117,250.0,116,250.0,116,248.0,114,246.0,112,246.0,112,240.0,106,238.0,104,238.0,104,238.0,104
csla_mux_3,170,80,145,68,14.71,15.00,1907.2,OK,3,0,149.0,72,149.0,72,149.0,72,149.0,72,148.0,71,148.0,71,146.0,69,146.0,69,146.0,69,146.0,69,145.0,68,145.0,68,145.0,68,145.0,68,145.0,68
csum_mux_9,420,168,280,140,33.33,16.67,2080.9,OK,3,0,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140,280.0,140
gf2^4_mult,225,99,167,86,25.78,13.13,1944.0,OK,3,0,173.0,92,173.0,92,173.0,92,171.0,90,169.0,88,169.0,88,169.0,88,169.0,88,168.0,87,168.0,87,168.0,87,168.0,87,167.0,86,167.0,86,167.0,86
gf2^5_mult,347,154,261,136,24.78,11.69,2202.7,OK,3,0,265.0,140,265.0,140,265.0,140,265.0,140,265.0,140,265.0,140,264.0,139,264.0,139,264.0,139,263.0,138,263.0,138,263.0,138,262.0,137,262.0,137,261.0,136
gf2^6_mult,495,221,366,196,26.06,11.31,2551.5,OK,3,0,370.0,200,370.0,200,370.0,200,370.0,200,370.0,200,369.0,199,369.0,199,369.0,199,369.0,199,369.0,199,368.0,198,367.0,197,366.0,196,366.0,196,366.0,196
gf2^7_mult,669,300,500,269,25.26,10.33,3342.3,OK,3,0,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269,500.0,269
gf2^8_mult,883,405,654,367,25.93,9.38,3209.8,OK,3,0,706.0,405,663.0,362,663.0,362,663.0,362,660.0,359,660.0,359,660.0,359,660.0,359,660.0,359,660.0,359,657.0,370,654.0,367,654.0,367,654.0,367,654.0,367
gf2^9_mult,1095,494,805,436,26.48,11.74,3393.1,OK,3,0,863.0,494,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436,805.0,436
gf2^10_mult,1347,609,972,536,27.84,11.99,3811.2,OK,3,0,1045.0,609,1045.0,609,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536,972.0,536
mod5_4,63,28,24,13,61.90,53.57,111.4,OK,33,3,26.0,15,26.0,15,26.0,15,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13,24.0,13
mod_mult_55,119,48,86,38,27.73,20.83,1307.8,OK,3,0,87.0,39,87.0,39,87.0,39,86.0,38,86.0,38,86.0,38,86.0,38,86.0,38,86.0,38,86.0,38,86.0,38,86.0,38,86.0,38,86.0,38,86.0,38
mod_red_21,278,105,176,73,36.69,30.48,1759.6,OK,3,0,180.0,77,179.0,76,178.0,75,178.0,75,178.0,75,178.0,75,176.0,73,176.0,73,176.0,73,176.0,73,176.0,73,176.0,73,176.0,73,176.0,73,176.0,73
qcla_adder_10,521,233,387,172,25.72,26.18,2225.0,OK,3,0,392.0,177,392.0,177,392.0,177,392.0,177,391.0,176,390.0,175,390.0,175,390.0,175,390.0,175,389.0,174,389.0,174,387.0,172,387.0,172,387.0,172,387.0,172
qcla_com_7,443,186,254,117,42.66,37.10,2016.0,OK,3,0,258.0,121,258.0,121,258.0,121,255.0,118,255.0,118,255.0,118,255.0,118,255.0,118,255.0,118,255.0,118,254.0,117,254.0,117,254.0,117,254.0,117,254.0,117
